country_iso,country,entries,availability,source
BD,Bangladesh,0,"none -- API returns 404, country not loaded",Wikimedia Analytics pageviews API (CC0)
EG,Egypt,0,"none -- API returns 404, country not loaded",Wikimedia Analytics pageviews API (CC0)
PK,Pakistan,0,"none -- API returns 404, country not loaded",Wikimedia Analytics pageviews API (CC0)
RU,Russia,0,"none -- API returns 404, country not loaded",Wikimedia Analytics pageviews API (CC0)
TR,Turkey,0,"none -- API returns 404, country not loaded",Wikimedia Analytics pageviews API (CC0)
VN,Vietnam,0,"none -- API returns 404, country not loaded",Wikimedia Analytics pageviews API (CC0)
NG,Nigeria,15,partial -- fewer articles clear the privacy floor,Wikimedia Analytics pageviews API (CC0)
ZA,South Africa,44,partial -- fewer articles clear the privacy floor,Wikimedia Analytics pageviews API (CC0)
TH,Thailand,123,partial -- fewer articles clear the privacy floor,Wikimedia Analytics pageviews API (CC0)
PH,Philippines,138,partial -- fewer articles clear the privacy floor,Wikimedia Analytics pageviews API (CC0)
AR,Argentina,140,full,Wikimedia Analytics pageviews API (CC0)
BR,Brazil,140,full,Wikimedia Analytics pageviews API (CC0)
FR,France,140,full,Wikimedia Analytics pageviews API (CC0)
DE,Germany,140,full,Wikimedia Analytics pageviews API (CC0)
IN,India,140,full,Wikimedia Analytics pageviews API (CC0)
ID,Indonesia,140,full,Wikimedia Analytics pageviews API (CC0)
IT,Italy,140,full,Wikimedia Analytics pageviews API (CC0)
JP,Japan,140,full,Wikimedia Analytics pageviews API (CC0)
MX,Mexico,140,full,Wikimedia Analytics pageviews API (CC0)
PL,Poland,140,full,Wikimedia Analytics pageviews API (CC0)
KR,South Korea,140,full,Wikimedia Analytics pageviews API (CC0)
ES,Spain,140,full,Wikimedia Analytics pageviews API (CC0)
GB,United Kingdom,140,full,Wikimedia Analytics pageviews API (CC0)
US,United States,140,full,Wikimedia Analytics pageviews API (CC0)
